"Priority","Query","Intent","Clicks","Impressions","CTR","Position","Opportunity score","Owner","Owner type","Owner share","Ownership","Meaningful pages","Secondary pages","Recommended action"
"184","punjab scholarship portal","entity lookup","55","2283","2.41","5.51","124","https://www.indiascholarships.in/scholarships/punjab-post-matric-scholarship-for-scbc-students","scholarship detail","57.4","Split / unclear","2","/scholarships-in/punjab/apply-online (771)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"185","post matric scholarship last date","deadline/renewal","17","2001","0.85","7.63","124","https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-obcsebc-students-odisha","scholarship detail","38.3","Split / unclear","2","/scholarships/post-matric-scholarship-for-st-students-odisha (156)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"186","mmvy scholarship portal","entity lookup","19","1856","1.02","4.05","123","https://www.indiascholarships.in/scholarships/mukhyamantri-medhavi-vidyarthi-yojana-mmvy","scholarship detail","99.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"187","jindal scholarship apply online","apply/login","73","2466","2.96","4.80","123","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","99.7","Clear owner","1","","Create/upgrade an apply or login guide; retain the scholarship detail page for entity lookup intent."
"188","tata trust scholarship","entity lookup","119","3026","3.93","5.03","123","https://www.indiascholarships.in/scholarships/tata-trusts-medical-and-healthcare-scholarship","scholarship detail","58.4","Split / unclear","2","/scholarships/tata-trusts-education-grants (1502)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"189","scholarship punjab","entity lookup","64","2401","2.67","5.81","123","https://www.indiascholarships.in/scholarships/punjab-post-matric-scholarship-for-scbc-students","scholarship detail","67.1","Split / unclear","2","/scholarships/punjab-post-matric-scholarship-for-sc-students (594)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"190","jindal scholarship apply online 2026","apply/login","292","5314","5.49","3.35","122","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","100.0","Clear owner","1","","Create/upgrade an apply or login guide; retain the scholarship detail page for entity lookup intent."
"191","sitaram jindal scholarship official website","entity lookup","103","2824","3.65","4.86","122","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","99.4","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"192","scholarship portal odisha","entity lookup","12","1821","0.66","6.82","122","https://www.indiascholarships.in/scholarships-in/odisha","state hub","57.3","Split / unclear","3","/scholarships/post-matric-scholarship-for-sc-students-odisha/apply-online (419) | /scholarships/post-matric-scholarship-for-obcsebc-students-odisha (334)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"193","kanya utthan yojana 2025","entity lookup","88","2748","3.20","6.62","121","https://www.indiascholarships.in/scholarships/mukhyamantri-kanya-utthan-yojana-graduation","scholarship detail","100.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"194","kanya utthan yojana graduation","entity lookup","150","3415","4.39","5.47","120","https://www.indiascholarships.in/scholarships/mukhyamantri-kanya-utthan-yojana-graduation","scholarship detail","100.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"195","post matric scholarship status check odisha","status/troubleshooting","56","2234","2.51","4.61","120","https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-obcsebc-students-odisha","scholarship detail","64.5","Split / unclear","1","","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"196","vivekananda merit scholarship","entity lookup","25","2142","1.17","8.56","120","https://www.indiascholarships.in/scholarships/swami-vivekananda-merit-cum-means-scholarship-svmcm","scholarship detail","95.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"197","pre matric scholarship","entity lookup","59","2476","2.38","7.85","119","https://www.indiascholarships.in/scholarships/pre-matric-scholarship-for-obcsebc-students-odisha","scholarship detail","18.6","Split / unclear","7","/scholarships/pre-matric-scholarship-for-st-students-odisha (398) | /kn/scholarships/ssp-pre-matric-post-matric-scholarship-karnataka/apply-online (377) | /scholarships/pre-matric-st-students-karnataka (272)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"198","india foundation scholarship","entity lookup","498","7876","6.32","2.86","118","https://indiascholarships.in/","other","74.9","Split / unclear","3","/private-scholarships (3118) | / (1920)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"199","scholarship for jain students","entity lookup","26","2014","1.29","7.65","117","https://www.indiascholarships.in/scholarships-for/jain","other","90.2","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"200","hdfc parivartan scholarship june 2026","entity lookup","71","2485","2.86","6.87","116","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","100.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"201","faea india scholarship","entity lookup","11","1604","0.69","4.70","116","https://www.indiascholarships.in/scholarships/faea-scholarship-for-undergraduate-studies","scholarship detail","100.1","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"202","gaon ki beti yojana","entity lookup","27","1969","1.37","7.43","115","https://www.indiascholarships.in/scholarships/mp-gaon-ki-beti-yojana","scholarship detail","72.5","Split / unclear","2","/hi/scholarships/mp-gaon-ki-beti-yojana (467)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"203","post matric scholarship maharashtra","entity lookup","20","1931","1.04","7.96","115","https://www.indiascholarships.in/scholarships/maharashtra-goi-post-matric-scholarship-for-sc","scholarship detail","33.0","Split / unclear","5","/scholarships/maharashtra-ebc-postmatric (450) | /scholarships/mahadbt-post-matric-scholarship-maharashtra/apply-online (283) | /scholarships/mahadbt-post-matric-scholarship-maharashtra (212)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"204","infosys foundation scholarship","entity lookup","42","1958","2.15","4.89","114","https://www.indiascholarships.in/scholarships/infosys-foundation-stem-stars-scholarship-program","scholarship detail","98.2","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"205","sita ram jindal scholarship","entity lookup","137","3136","4.37","4.87","113","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","99.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"206","hdfc scholarship 2026 apply online","apply/login","41","2096","1.96","7.32","112","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","100.0","Clear owner","1","","Create/upgrade an apply or login guide; retain the scholarship detail page for entity lookup intent."
"207","needs of public jindal scholarship","entity lookup","16","1652","0.97","5.99","110","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","99.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"208","cm scholarship","entity lookup","14","1877","0.75","8.88","110","https://www.indiascholarships.in/scholarships/nabanna-scholarship-west-bengal","scholarship detail","96.6","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"209","vidyasaarathi scholarship 2026","entity lookup","13","1770","0.73","8.10","109","https://www.indiascholarships.in/scholarships/vidyasaarathi-scholarship-csr-programs","scholarship detail","57.9","Split / unclear","2","/scholarships/vidyasaarathi-scholarship-csr-programs/last-date (411)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"210","ishan uday scholarship","entity lookup","15","1958","0.77","9.72","108","https://www.indiascholarships.in/scholarships/ishan-uday-special-scholarship-for-north-eastern-region/apply-online","scholarship subpage","35.8","Split / unclear","5","/ta/scholarships/ishan-uday-special-scholarship-for-north-eastern-region/selection-process (401) | /scholarships/ishan-uday-special-scholarship-for-north-eastern-region/eligibility (288) | /scholarships/ishan-uday-special-scholarship-for-north-eastern-region/last-date (279)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"211","talliki vandanam 2026","entity lookup","36","1891","1.90","6.67","106","https://www.indiascholarships.in/scholarships/talliki-vandanam-scheme-ap/apply-online","scholarship subpage","53.8","Split / unclear","2","/scholarships/talliki-vandanam-scheme-ap/last-date (597)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"212","rajarshi shahu maharaj scholarship","entity lookup","11","1781","0.62","9.14","104","https://www.indiascholarships.in/scholarships/maharashtra-rajarshi-shahu","scholarship detail","95.4","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"213","ews scholarship","entity lookup","66","2216","2.98","6.49","103","https://www.indiascholarships.in/scholarships-for/general-ews","other","48.1","Split / unclear","2","/scholarships-for/sc-st-obc-general (947)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"214","talliki vandanam status","status/troubleshooting","33","1806","1.83","6.55","103","https://www.indiascholarships.in/scholarships/talliki-vandanam-scheme-ap","scholarship detail","99.4","Clear owner","1","","Create/upgrade a status-check or troubleshooting owner page and link it prominently from the current ranking page."
"215","tata pankh scholarship","entity lookup","220","4144","5.31","3.34","102","https://www.indiascholarships.in/scholarships/tata-capital-pankh-scholarship","scholarship detail","99.5","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"216","aikyashree scholarship status check","status/troubleshooting","23","1730","1.33","7.32","102","https://www.indiascholarships.in/scholarships/aikyashree-scholarship-west-bengal-minority","scholarship detail","94.7","Clear owner","1","","Create/upgrade a status-check or troubleshooting owner page and link it prominently from the current ranking page."
"217","tata scholarship apply online 2026","apply/login","161","3400","4.74","3.34","102","https://www.indiascholarships.in/scholarships/tata-capital-pankh-scholarship","scholarship detail","99.7","Clear owner","1","","Create/upgrade an apply or login guide; retain the scholarship detail page for entity lookup intent."
"218","post matric scholarship west bengal","entity lookup","80","2341","3.42","3.82","101","https://www.indiascholarships.in/scholarships/west-bengal-post-matric-scholarship-for-scstobc","scholarship detail","73.4","Split / unclear","1","","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"219","parivartan scholarship","entity lookup","21","1723","1.22","7.78","101","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","98.5","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"220","wbmdfc scholarship","entity lookup","36","1880","1.91","7.52","100","https://www.indiascholarships.in/scholarships/aikyashree-scholarship-west-bengal-minority","scholarship detail","72.4","Split / unclear","2","/scholarships/aikyashree-post-matric-scholarship-for-minorities-west-bengal (333)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"221","hdfc parivartan scholarship apply online","apply/login","23","1755","1.31","8.00","100","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","99.7","Clear owner","1","","Create/upgrade an apply or login guide; retain the scholarship detail page for entity lookup intent."
"222","azim premji scholarship status check","status/troubleshooting","12","1665","0.72","8.73","99","https://www.indiascholarships.in/scholarships/azim-premji-scholarship","scholarship detail","72.5","Split / unclear","2","/scholarships/azim-premji-scholarship/selection-process (269)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"223","reliance foundation scholarship 2026","entity lookup","23","1615","1.42","6.47","98","https://www.indiascholarships.in/scholarships/reliance-foundation-undergraduate-scholarship","scholarship detail","78.8","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"224","scholarship 2026 assam","entity lookup","19","1723","1.10","8.57","98","https://www.indiascholarships.in/scholarships-in/assam/apply-online","state hub","60.4","Split / unclear","2","/scholarships-in/assam (626)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"225","scholarship last date 2026 telangana","deadline/renewal","13","1471","0.88","6.53","97","https://www.indiascholarships.in/scholarships-in/telangana/last-date","state hub","40.2","Split / unclear","4","/scholarships/telangana-postmatric-bc (322) | /scholarships/telangana-postmatric-sc (300) | /scholarships-in/telangana (279)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"226","pm scholarship","entity lookup","15","1775","0.85","9.96","95","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","94.5","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"227","pm yasasvi scheme","entity lookup","83","2358","3.52","6.92","95","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","99.9","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"228","post matric scholarship telangana","entity lookup","14","1433","0.98","6.47","93","https://www.indiascholarships.in/scholarships/telangana-postmatric-bc","scholarship detail","83.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"229","csss scholarship","entity lookup","12","1542","0.78","8.29","93","https://www.indiascholarships.in/te/scholarships/central-sector-scholarship-csss","other","67.1","Split / unclear","2","/scholarships/central-sector-scheme-of-scholarship-for-college-and-university-students (310)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"230","yashasvi yojana","entity lookup","32","1712","1.87","7.36","93","https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship","scholarship detail","99.5","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"231","parivartan ecss scholarship","entity lookup","13","1520","0.86","8.14","92","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","95.0","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"232","jindal foundation scholarship","entity lookup","81","2163","3.74","5.38","90","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","98.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"233","sssjkl","entity lookup","13","1364","0.95","6.22","90","https://www.indiascholarships.in/scholarships/prime-minister-special-scholarship-scheme-sssjkl","scholarship detail","42.9","Split / unclear","3","/ta/scholarships/prime-minister-special-scholarship-scheme-sssjkl/selection-process (583) | /kn/scholarships/prime-minister-special-scholarship-scheme-sssjkl/last-date (366)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"234","odisha scholarship status check","status/troubleshooting","26","1490","1.74","6.06","88","https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-obcsebc-students-odisha","scholarship detail","51.2","Split / unclear","3","/scholarships/pre-matric-scholarship-for-st-students-odisha (177) | /scholarships/post-matric-scholarship-for-st-students-odisha (170)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"235","national means cum merit scholarship","entity lookup","13","1469","0.88","8.20","88","https://www.indiascholarships.in/scholarships/national-means-cum-merit-scholarship","scholarship detail","93.3","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"236","wb cm scholarship","entity lookup","123","2704","4.55","3.74","87","https://www.indiascholarships.in/scholarships/nabanna-scholarship-west-bengal","scholarship detail","88.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"237","gaon ki beti yojana 2026 last date","deadline/renewal","31","1521","2.04","5.76","87","https://www.indiascholarships.in/scholarships/mp-gaon-ki-beti-yojana","scholarship detail","59.6","Split / unclear","3","/ta/scholarships/mp-gaon-ki-beti-yojana/last-date (258) | /kn/scholarships/mp-gaon-ki-beti-yojana/last-date (185)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"238","azim premji scholarship 2026 last date","deadline/renewal","11","1479","0.74","8.85","87","https://www.indiascholarships.in/scholarships/azim-premji-scholarship","scholarship detail","69.1","Split / unclear","2","/scholarships/azim-premji-scholarship/selection-process (341)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"239","vidya deevena release date 2026","deadline/renewal","48","1714","2.80","4.41","86","https://www.indiascholarships.in/scholarships/jagananna-vidya-deevena-fees-reimbursement","scholarship detail","60.5","Split / unclear","4","/scholarships/jagananna-vidya-deevena-ap (380) | /scholarships/andhra-pradesh-jagananna-vidya-deevena (333) | /scholarships/jagananna-vidya-deevena-fees-reimbursement/last-date (294)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"240","infosys scholarship","entity lookup","43","1684","2.55","6.14","86","https://www.indiascholarships.in/scholarships/infosys-foundation-stem-stars-scholarship-program","scholarship detail","98.6","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"241","hdfc scholarship apply online 2026","apply/login","59","1899","3.11","6.44","86","https://www.indiascholarships.in/scholarships/hdfc-bank-parivartan-ecss-scholarship","scholarship detail","100.1","Clear owner","1","","Create/upgrade an apply or login guide; retain the scholarship detail page for entity lookup intent."
"242","sitaram jindal scholarship 2026 last date","deadline/renewal","317","5133","6.18","3.40","86","https://www.indiascholarships.in/scholarships/sitaram-jindal-foundation-scholarship","scholarship detail","100.0","Clear owner","1","","Strengthen the dedicated last-date or renewal subpage, with verified current-cycle dates and a clear link from the detail page."
"243","50000 scholarship","entity lookup","37","1627","2.27","6.68","85","https://www.indiascholarships.in/scholarships/mukhyamantri-kanya-utthan-yojana-graduation","scholarship detail","96.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"244","mahadbt2.maharashtra.gov.in","entity lookup","12","1283","0.94","6.34","85","https://www.indiascholarships.in/scholarships/maharashtra-ebc-postmatric/apply-online","scholarship subpage","45.5","Split / unclear","3","/scholarships/maharashtra-ebc-postmatric (526) | /scholarships/maharashtra-goi-post-matric-scholarship-for-sc (203)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"245","scholarship manipur 2026","entity lookup","22","1428","1.54","7.08","83","https://www.indiascholarships.in/scholarships/pm-yasasvi-post-matric-scholarship-manipur","scholarship detail","58.8","Split / unclear","2","/scholarships/manipur-state-merit-scholarship (400)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"246","national scholarship portal","entity lookup","27","1456","1.85","6.67","82","https://www.indiascholarships.in/guides/nsp","portal guide","75.4","Split / unclear","2","/scholarships/pm-yashasvi-scholarship (290)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"247","cm scholarship west bengal","entity lookup","23","1315","1.75","5.07","82","https://www.indiascholarships.in/scholarships/nabanna-scholarship-west-bengal","scholarship detail","90.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"248","bihar post matric scholarship","entity lookup","38","1617","2.35","7.15","82","https://www.indiascholarships.in/hi/scholarships/bihar-post-matric-scholarship-bcebc/apply-online","other","24.2","Split / unclear","6","/scholarships/bihar-post-matric-scholarship-for-st-students (344) | /scholarships/bihar-post-matric-scholarship-bcebc/apply-online (292) | /scholarships/bihar-post-matric-scholarship-bcebc/last-date (218)","Consolidate: choose one primary owner, strengthen internal links, and differentiate or canonicalise competing pages."
"249","scholarship west bengal","entity lookup","33","1591","2.07","7.80","81","https://www.indiascholarships.in/scholarships-in/west-bengal","state hub","96.7","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
"250","golden jubilee scholarship","entity lookup","13","1298","1.00","7.34","80","https://www.indiascholarships.in/scholarships/lic-golden-jubilee-scholarship","scholarship detail","94.4","Clear owner","1","","Improve the existing owner: refresh current-cycle facts, title/meta, answer-first copy, and relevant internal links."
